"ID","ObservationTime","ObservationDate","ScreenTemperature","SiteName"
"4005143","22","2015-01-09T00:00:00","13.30","CASTLEDERG (3904)"
"4005280","23","2015-01-09T00:00:00","13.10","CASTLEDERG (3904)"
"4005417","0","2015-01-10T00:00:00","13.60","CASTLEDERG (3904)"
"4005554","1","2015-01-10T00:00:00","13.90","CASTLEDERG (3904)"
"4005689","2","2015-01-10T00:00:00","12.50","CASTLEDERG (3904)"
"4005827","3","2015-01-10T00:00:00","8.20","CASTLEDERG (3904)"
"4005964","4","2015-01-10T00:00:00","7.80","CASTLEDERG (3904)"
"4006101","5","2015-01-10T00:00:00","6.30","CASTLEDERG (3904)"
"4006239","6","2015-01-10T00:00:00","5.50","CASTLEDERG (3904)"
"4006374","7","2015-01-10T00:00:00","4.90","CASTLEDERG (3904)"
"4006511","8","2015-01-10T00:00:00","3.70","CASTLEDERG (3904)"
"4006649","9","2015-01-10T00:00:00","2.50","CASTLEDERG (3904)"
"4006784","10","2015-01-10T00:00:00","4.20","CASTLEDERG (3904)"
"4006922","11","2015-01-10T00:00:00","3.20","CASTLEDERG (3904)"
"4007057","12","2015-01-10T00:00:00","2.70","CASTLEDERG (3904)"
"4007195","13","2015-01-10T00:00:00","4.60","CASTLEDERG (3904)"
"4007332","14","2015-01-10T00:00:00","4.60","CASTLEDERG (3904)"
"4007469","15","2015-01-10T00:00:00","4.00","CASTLEDERG (3904)"
"4007606","16","2015-01-10T00:00:00","2.20","CASTLEDERG (3904)"
"4007743","17","2015-01-10T00:00:00","2.80","CASTLEDERG (3904)"
"4007881","18","2015-01-10T00:00:00","2.60","CASTLEDERG (3904)"
"4008018","19","2015-01-10T00:00:00","2.20","CASTLEDERG (3904)"
"4008156","20","2015-01-10T00:00:00","2.30","CASTLEDERG (3904)"
"4008293","21","2015-01-10T00:00:00","2.60","CASTLEDERG (3904)"
"4008428","22","2015-01-10T00:00:00","2.90","CASTLEDERG (3904)"
"4008564","23","2015-01-10T00:00:00","1.80","CASTLEDERG (3904)"
"4008701","0","2015-01-11T00:00:00","2.10","CASTLEDERG (3904)"
"4008838","1","2015-01-11T00:00:00","2.40","CASTLEDERG (3904)"
"4008974","2","2015-01-11T00:00:00","3.80","CASTLEDERG (3904)"
"4009110","3","2015-01-11T00:00:00","4.10","CASTLEDERG (3904)"
"4009244","4","2015-01-11T00:00:00","4.30","CASTLEDERG (3904)"
"4009381","5","2015-01-11T00:00:00","4.50","CASTLEDERG (3904)"
"4009518","6","2015-01-11T00:00:00","5.20","CASTLEDERG (3904)"
"4009655","7","2015-01-11T00:00:00","6.00","CASTLEDERG (3904)"
"4009793","8","2015-01-11T00:00:00","6.10","CASTLEDERG (3904)"
"4009930","9","2015-01-11T00:00:00","5.70","CASTLEDERG (3904)"
"4010068","10","2015-01-11T00:00:00","6.30","CASTLEDERG (3904)"
"4010206","11","2015-01-11T00:00:00","6.70","CASTLEDERG (3904)"
"4010344","12","2015-01-11T00:00:00","7.00","CASTLEDERG (3904)"
"4010481","13","2015-01-11T00:00:00","7.00","CASTLEDERG (3904)"
"4010619","14","2015-01-11T00:00:00","7.20","CASTLEDERG (3904)"
"4010756","15","2015-01-11T00:00:00","7.60","CASTLEDERG (3904)"
"4010894","16","2015-01-11T00:00:00","7.80","CASTLEDERG (3904)"
"4011031","17","2015-01-11T00:00:00","7.80","CASTLEDERG (3904)"
"4011170","18","2015-01-11T00:00:00","7.70","CASTLEDERG (3904)"
"4011304","19","2015-01-11T00:00:00","7.80","CASTLEDERG (3904)"
"4011441","20","2015-01-11T00:00:00","7.90","CASTLEDERG (3904)"
"4011577","21","2015-01-11T00:00:00","7.00","CASTLEDERG (3904)"
"4011714","22","2015-01-11T00:00:00","7.30","CASTLEDERG (3904)"
"4011851","23","2015-01-11T00:00:00","7.40","CASTLEDERG (3904)"
"4011987","0","2015-01-12T00:00:00","7.70","CASTLEDERG (3904)"
"4012121","1","2015-01-12T00:00:00","7.60","CASTLEDERG (3904)"
"4012259","2","2015-01-12T00:00:00","7.90","CASTLEDERG (3904)"
"4012396","3","2015-01-12T00:00:00","8.50","CASTLEDERG (3904)"
"4012534","4","2015-01-12T00:00:00","8.80","CASTLEDERG (3904)"
"4012672","5","2015-01-12T00:00:00","9.20","CASTLEDERG (3904)"
"4012807","6","2015-01-12T00:00:00","8.00","CASTLEDERG (3904)"
"4012944","7","2015-01-12T00:00:00","5.70","CASTLEDERG (3904)"
"4013080","8","2015-01-12T00:00:00","6.00","CASTLEDERG (3904)"
"4013218","9","2015-01-12T00:00:00","4.70","CASTLEDERG (3904)"
"4013355","10","2015-01-12T00:00:00","5.30","CASTLEDERG (3904)"
"4013492","11","2015-01-12T00:00:00","5.30","CASTLEDERG (3904)"
"4013630","12","2015-01-12T00:00:00","3.80","CASTLEDERG (3904)"
"4013768","13","2015-01-12T00:00:00","5.70","CASTLEDERG (3904)"
"4013905","14","2015-01-12T00:00:00","6.10","CASTLEDERG (3904)"
"4014042","15","2015-01-12T00:00:00","5.50","CASTLEDERG (3904)"
"4014180","16","2015-01-12T00:00:00","4.20","CASTLEDERG (3904)"
"4014317","17","2015-01-12T00:00:00","3.90","CASTLEDERG (3904)"
"4014453","18","2015-01-12T00:00:00","4.50","CASTLEDERG (3904)"
"4014592","19","2015-01-12T00:00:00","4.60","CASTLEDERG (3904)"
"4014731","20","2015-01-12T00:00:00","3.90","CASTLEDERG (3904)"
"4014871","21","2015-01-12T00:00:00","2.50","CASTLEDERG (3904)"
"4015009","22","2015-01-12T00:00:00","3.10","CASTLEDERG (3904)"
"4015147","23","2015-01-12T00:00:00","1.70","CASTLEDERG (3904)"
"4015286","0","2015-01-13T00:00:00","1.10","CASTLEDERG (3904)"
"4015423","1","2015-01-13T00:00:00","1.40","CASTLEDERG (3904)"
"4015560","2","2015-01-13T00:00:00","0.60","CASTLEDERG (3904)"
"4015699","3","2015-01-13T00:00:00","1.60","CASTLEDERG (3904)"
"4015838","4","2015-01-13T00:00:00","1.40","CASTLEDERG (3904)"
"4015977","5","2015-01-13T00:00:00","1.30","CASTLEDERG (3904)"
"4016117","6","2015-01-13T00:00:00","1.60","CASTLEDERG (3904)"
"4016256","7","2015-01-13T00:00:00","0.30","CASTLEDERG (3904)"
"4016393","8","2015-01-13T00:00:00","0.50","CASTLEDERG (3904)"
"4016531","9","2015-01-13T00:00:00","0.70","CASTLEDERG (3904)"
"4016668","10","2015-01-13T00:00:00","0.30","CASTLEDERG (3904)"
"4016807","11","2015-01-13T00:00:00","0.80","CASTLEDERG (3904)"
"4016945","12","2015-01-13T00:00:00","1.00","CASTLEDERG (3904)"
"4017084","13","2015-01-13T00:00:00","0.60","CASTLEDERG (3904)"
"4017223","14","2015-01-13T00:00:00","0.80","CASTLEDERG (3904)"
"4017362","15","2015-01-13T00:00:00","0.80","CASTLEDERG (3904)"
"4017501","16","2015-01-13T00:00:00","0.30","CASTLEDERG (3904)"
"4017639","17","2015-01-13T00:00:00","0.20","CASTLEDERG (3904)"
"4017777","18","2015-01-13T00:00:00","0.30","CASTLEDERG (3904)"
"4017914","19","2015-01-13T00:00:00","0.30","CASTLEDERG (3904)"
"4018052","20","2015-01-13T00:00:00","0.40","CASTLEDERG (3904)"
"4018174","21","2015-01-13T00:00:00","0.50","CASTLEDERG (3904)"
"4018253","22","2015-01-13T00:00:00","0.10","CASTLEDERG (3904)"
"4018433","0","2015-01-14T00:00:00","-0.40","CASTLEDERG (3904)"
"4018550","1","2015-01-14T00:00:00","0.10","CASTLEDERG (3904)"
"4018673","2","2015-01-14T00:00:00","-0.10","CASTLEDERG (3904)"
"4018799","3","2015-01-14T00:00:00","-0.50","CASTLEDERG (3904)"
"4018924","4","2015-01-14T00:00:00","0.00","CASTLEDERG (3904)"
"4019050","5","2015-01-14T00:00:00","0.00","CASTLEDERG (3904)"
"4019174","6","2015-01-14T00:00:00","0.60","CASTLEDERG (3904)"
"4019300","7","2015-01-14T00:00:00","0.40","CASTLEDERG (3904)"
"4019426","8","2015-01-14T00:00:00","0.50","CASTLEDERG (3904)"
"4019553","9","2015-01-14T00:00:00","1.30","CASTLEDERG (3904)"
"4019679","10","2015-01-14T00:00:00","1.50","CASTLEDERG (3904)"
"4019805","11","2015-01-14T00:00:00","1.60","CASTLEDERG (3904)"
"4019933","12","2015-01-14T00:00:00","1.50","CASTLEDERG (3904)"
"4020063","13","2015-01-14T00:00:00","1.70","CASTLEDERG (3904)"
"4020195","14","2015-01-14T00:00:00","0.90","CASTLEDERG (3904)"
"4020328","15","2015-01-14T00:00:00","2.20","CASTLEDERG (3904)"
"4020460","16","2015-01-14T00:00:00","2.80","CASTLEDERG (3904)"
"4020593","17","2015-01-14T00:00:00","4.40","CASTLEDERG (3904)"
"4020724","18","2015-01-14T00:00:00","5.10","CASTLEDERG (3904)"
"4020856","19","2015-01-14T00:00:00","6.40","CASTLEDERG (3904)"
"4020988","20","2015-01-14T00:00:00","7.70","CASTLEDERG (3904)"
"4021120","21","2015-01-14T00:00:00","7.80","CASTLEDERG (3904)"
"4021253","22","2015-01-14T00:00:00","6.30","CASTLEDERG (3904)"
"4021384","23","2015-01-14T00:00:00","5.90","CASTLEDERG (3904)"
"4021516","0","2015-01-15T00:00:00","5.40","CASTLEDERG (3904)"
"4021650","1","2015-01-15T00:00:00","4.80","CASTLEDERG (3904)"
"4021786","2","2015-01-15T00:00:00","3.30","CASTLEDERG (3904)"
"4021921","3","2015-01-15T00:00:00","4.80","CASTLEDERG (3904)"
"4031921","4","2015-01-15T00:00:00","5.00","CASTLEDERG (3904)"
"4032057","5","2015-01-15T00:00:00","4.80","CASTLEDERG (3904)"
"4032193","6","2015-01-15T00:00:00","5.70","CASTLEDERG (3904)"
"4032328","7","2015-01-15T00:00:00","5.90","CASTLEDERG (3904)"
